,_1,_2,_3,_4
4,We want controlled immigration that contributes positively to the UK economy. Same as Australia &amp; Canada. ,"(262144,[33698,45145,70954,111304,133183,150794,173701,176491,190256,213022],[0.0,0.0,6.63500873324,2.67012223826,0.0,5.21362305231,0.0,0.0,4.29045944115,3.0240908206])","[0.231670856926,0.135471105883,0.103738824201,0.102075882524,0.105172329828,0.113304763454,0.101187740765,0.107378496419]",0
17,"Canada Immigration Website Traffic Surges And Crashes In Wake Of Trump #fasttraffic,#sitetraffic,#website,#traffic ","(262144,[7612,29543,59177,83101,101728,111304,114769,152028,230168],[5.87286868119,0.0,5.17972150063,0.0,2.59950467104,2.67012223826,6.50147734062,5.40286505195,6.01596952484])","[0.284174951161,0.127333437879,0.108050779587,0.0812291297762,0.0868249455266,0.147313658406,0.0816276347787,0.0834454628864]",0
33,I had applied for skilled immigration for Australia and Canada through Premiers international Dubai. Both my applications were rejected.,"(262144,[17990,27569,42239,70954,101728,111304,117123,121290,155796,237227],[0.0,0.0,6.2783337893,6.63500873324,2.59950467104,2.67012223826,0.0,0.0,0.0,0.0])","[0.263175529089,0.113835868834,0.103016384616,0.113117397675,0.104966783414,0.102672932405,0.0970214563058,0.102193647661]",0
37,Canada's immigration website crashes on election night ,"(262144,[59177,66092,111304,114769,206738,217316],[5.17972150063,5.40286505195,2.67012223826,6.50147734062,4.8197187666,6.63500873324])","[0.331909823894,0.107145252376,0.083255987975,0.0821518786876,0.0879788033679,0.0861038147459,0.082336822846,0.139117616108]",0
40,Blessed are the peacemakers: for they will be called children of God.,"(262144,[29993,30905,39382,166341,178534],[0.0,6.38369430496,0.0,0.0,4.17419963503])","[0.20654477927,0.105811991389,0.10598924484,0.116682794767,0.146435448311,0.105750149822,0.107032675039,0.105752916562]",0
57,"#statistics #immigration""","(262144,[54523,215623],[0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
74,New immigration rules so #Americans can #work in #Canada. #recruitment @globalnews ,"(262144,[29945,63856,111304,160033,165268,176299,179415,222234],[2.66471681969,6.38369430496,2.67012223826,6.01596952484,5.63647990313,6.38369430496,6.38369430496,5.87286868119])","[0.478455023006,0.0754165165564,0.0730302761934,0.0741285004691,0.076672622316,0.0755636857726,0.0737967795539,0.0729365961329]",0
75,New immigration rules so #Americans can #work in #Canada. #recruitment @globalnews ,"(262144,[29945,63856,111304,160033,165268,176299,179415,222234],[2.66471681969,6.38369430496,2.67012223826,6.01596952484,5.63647990313,6.38369430496,6.38369430496,5.87286868119])","[0.478456766284,0.0754162775468,0.0730302723024,0.0741283551868,0.0766715840425,0.0755634508715,0.0737966997941,0.0729365939721]",0
78,"""Doing """"time""""","(262144,[160546,230859],[0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
89,#Canada #Immigration Application Process with Waiting Times ,"(262144,[30110,32525,67577,99364,117922,141522],[6.50147734062,4.52047587175,6.63500873324,5.40286505195,4.45378449725,5.94186155268])","[0.187096888997,0.147589350953,0.0827990364196,0.16062658845,0.0846967434229,0.150229091452,0.0813764747701,0.105585825536]",0
101,#Didyoumiss via @Fb_loaded Canada immigration website crashes as Donald Trump's votes rise ,"(262144,[13166,51228,54176,59177,76735,101728,111304,114769,122979,170380,240158],[0.0,5.40286505195,0.0,5.17972150063,0.0,2.59950467104,2.67012223826,6.50147734062,3.69056975408,6.63500873324,0.0])","[0.308994703817,0.0944481153318,0.170232158423,0.0821754215537,0.0873342880925,0.0867827025415,0.0815447198952,0.0884878903444]",0
105,Avail quick and transparent process for immigration to Canada,"(262144,[22323,30110,45702,101728,111304,161187],[6.63500873324,6.50147734062,0.0,2.59950467104,2.67012223826,0.0])","[0.189839622534,0.112685361204,0.112094302458,0.0966318014094,0.104450663743,0.186099737987,0.0966078495122,0.101590661153]",0
106,#ImmigrationVisa ,"(262144,[157839],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
120,Canada &amp; Australia Immigration Apply with us ,"(262144,[21872,28027,70954,101728,111304,213022],[4.33242364025,6.01596952484,6.63500873324,2.59950467104,2.67012223826,3.0240908206])","[0.182817212548,0.106096790207,0.102678259385,0.0920332336725,0.0984857251907,0.181394232109,0.0923521857325,0.144142361156]",0
132,"@DynastyDriven @Berniecrats2020 Canada has immigration laws, have to have $$ in bank n be able to support self he should try Mexico","(262144,[48648,100743,101464,101728,111304,138730,141407,146390,150024,201383,208955,217194,250737],[0.0,5.6905471244,5.53639644457,2.59950467104,2.67012223826,6.50147734062,5.32282234428,0.0,0.0,0.0,0.0,0.0,0.0])","[0.214773056623,0.115170815917,0.109566154887,0.161456022532,0.0925730164361,0.0913363871769,0.123196691272,0.0919278551554]",0
142,via @AlexPoucher_com &amp; TheYoungTurks - Fleeing Americans Crash Canada's Immigration Site,"(262144,[30002,45531,94851,111304,122979,141730,206738,213022,218767,232994,235182],[0.0,2.64338267721,5.6905471244,2.67012223826,3.69056975408,6.63500873324,4.8197187666,3.0240908206,0.0,0.0,0.0])","[0.199522899198,0.128937346501,0.176693804387,0.092124767285,0.100056375907,0.102974070943,0.0993538128615,0.100336922917]",0
153,Me: Australia is winning...,"(262144,[70954,219564,246444],[6.63500873324,0.0,0.0])","[0.214633570754,0.112168661075,0.112168671668,0.112168622567,0.112181497967,0.112237133801,0.112271356047,0.112170486121]",0
154,"Me:.......OH GOD""","(262144,[4398,33669],[0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
155,@shcorneius ,"(262144,[198199],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
157,???_???????_?_?_??????????_?????_?????_?_????_???_?_?????_?,"(262144,[230848],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
166,"#NewCdns #newtocanada #cdnimm""","(262144,[40897,99676,194278],[0.0,0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
168,"The day after President George W. Bush was reelected, Canada's main immigration website had 115,000 vi ","(262144,[9781,13957,59177,79122,111304,124361,132975,143107,150118,164404,167358,206738],[0.0,4.31823900526,5.17972150063,0.0,2.67012223826,0.0,5.87286868119,0.0,0.0,0.0,0.0,4.8197187666])","[0.184916931058,0.136367539449,0.0913480187872,0.0915395000609,0.171318260389,0.141330377705,0.0915582775546,0.0916210949964]",0
176,@realmommagump Not sure.  I hear CANADA has very STRICT immigration rules and a rigidly enforced border.  Mexico is??_ ,"(262144,[30737,63642,80558,101728,111304,111370,133266,138730,163616,165268,196917,198533,249180],[0.0,0.0,0.0,2.59950467104,2.67012223826,5.74770553824,0.0,6.50147734062,6.50147734062,5.63647990313,0.0,0.0,4.66962423363])","[0.252302287197,0.0943308798453,0.0865815082199,0.0839812530171,0.164126874812,0.144327401338,0.0867751002528,0.0875746953171]",0
181,Immigration Canada servers crashed on US election night. Now Parks Canada's servers crashed unable to handle the 2017 Park Pass offer. LAME,"(262144,[21872,38058,57099,71826,101728,111304,123562,149534,151116,163353,182392,184280,198389,206738,217316,259464],[4.33242364025,0.0,0.0,6.78915941307,2.59950467104,2.67012223826,0.0,6.50147734062,0.0,0.0,12.7673886099,6.63500873324,0.0,4.8197187666,6.63500873324,6.1830236095])","[0.357482928242,0.138096830969,0.071382593469,0.0627811973302,0.0956734403701,0.066087715947,0.116252751011,0.0922425426617]",0
187,New immigration rules so #Americans can #work in #Canada. #recruitment @globalnews ,"(262144,[29945,63856,111304,160033,165268,176299,179415,222234],[2.66471681969,6.38369430496,2.67012223826,6.01596952484,5.63647990313,6.38369430496,6.38369430496,5.87286868119])","[0.478456765297,0.0754162883457,0.073030272316,0.0741283548374,0.0766715830541,0.075563442433,0.0737966997327,0.0729365939838]",0
188,New immigration rules so #Americans can #work in #Canada. #recruitment @globalnews ,"(262144,[29945,63856,111304,160033,165268,176299,179415,222234],[2.66471681969,6.38369430496,2.67012223826,6.01596952484,5.63647990313,6.38369430496,6.38369430496,5.87286868119])","[0.478454804962,0.0754165231094,0.0730302742562,0.0741285032056,0.0766729591876,0.0755635780082,0.0737967625276,0.0729365947432]",0
201,READERS ARE Leaders! ,"(262144,[69597,155011],[0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
217,"@CassieLeuffen @MarketWatch Canada's immigration website crashed NO ONE left! Disappointed Some illegal immigrants left,are Canada's problem","(262144,[59177,63885,67220,78874,104816,111304,125372,158102,175322,182392,202613,206738,211035],[5.17972150063,6.78915941307,4.68909858419,0.0,0.0,2.67012223826,3.85353106358,0.0,0.0,6.38369430496,6.1830236095,9.63943753321,0.0])","[0.240718210651,0.137101899451,0.192840559375,0.072116415057,0.118584131928,0.0764407342539,0.0855966061937,0.0766014430893]",0
225,"With Trump threatening to rip up NAFTA, #Canada opens its doors to Mexicans  ","(262144,[1730,7612,102176,117922,174441,215908,216393,240027],[0.0,5.87286868119,0.0,4.45378449725,0.0,0.0,5.6905471244,0.0])","[0.259115908888,0.102585966574,0.102371690459,0.103613868397,0.100684938258,0.127284379045,0.0987068049004,0.105636443478]",0
229,Will new immigration policies in the US translate into good news for Canada's tech sector? ,"(262144,[20268,21872,29945,45269,49185,91615,111304,113432,195155,206738],[6.78915941307,4.33242364025,2.66471681969,0.0,4.86734681559,6.1830236095,2.67012223826,4.13826762581,5.53639644457,4.8197187666])","[0.195552885428,0.177360873545,0.0867232776459,0.0884152782774,0.0841969872632,0.0834223794175,0.141957783388,0.142370535035]",0
242,Start You Study Application To Canada:,"(262144,[31313,34460,67577,212740],[6.1830236095,6.01596952484,6.63500873324,5.87286868119])","[0.195367690576,0.135061945181,0.0973549409602,0.0947698189514,0.102324264663,0.16782507044,0.0925022380264,0.114794031203]",0
247,Prepare To Study In Canada:,"(262144,[31313,34460,206050],[6.1830236095,6.01596952484,0.0])","[0.18787498694,0.11360359694,0.104387482607,0.103829962663,0.106591505124,0.169679856176,0.104033548865,0.109999060685]",0
248,?????_???_?? ???_??? ?_?????????_?? ??????_ ???_?? ?_?????????? ???? 5000 ?????? .. ?????? ??????? ?_?????? !,"(262144,[28990,30445,53724,54145,61979,65551,67125,146752,186924,203354,213585,228683,234326],[5.36204305743,6.78915941307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0])","[0.203222748247,0.104935635719,0.136394547344,0.120071236271,0.111198695105,0.105897343173,0.113757722477,0.104522071664]",0
249,................................,"(262144,[40129],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
250,???_???? ?_???????????... ,"(262144,[86011,125257],[0.0,0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
252,@moniqueb54 ,"(262144,[141834],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
257,"""","(262144,[35182],[0.0])","[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]",0
