,text,tokens,stopWordsRemovedTokens,rawFeatures,prediction
0,@OurbabyMinx @WildWhiskeyRant killed and tried to go to Canada illegally and see what there immigration policy is. You don't have a cont.,"['@ourbabyminx', '@wildwhiskeyrant', 'killed', 'and', 'tried', 'to', 'go', 'to', 'canada', 'illegally', 'and', 'see', 'what', 'there', 'immigration', 'policy', 'is.', 'you', ""don't"", 'have', 'a', 'cont.']","['@ourbabyminx', '@wildwhiskeyrant', 'killed', 'tried', 'go', 'canada', 'illegally', 'see', 'immigration', 'policy', 'is.', 'cont.']","(1048576,[15236,100868,111304,136204,190480,215995,351590,362223,586611,626016,696765,817974],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
1,L??immigration irr?guli??re au Canada d?cortiqu?e en 5??questions ,"['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5??questions']","['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5??questions']","(1048576,[21744,56206,73510,349695,626016,686875,784424],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
2,Reminds me of Liberal Immigration Fraudster Monsef avoiding deportation from Canada. #cdnpoli #LPC #CPCLDR??_ ,"['reminds', 'me', 'of', 'liberal', 'immigration', 'fraudster', 'monsef', 'avoiding', 'deportation', 'from', 'canada.', '#cdnpoli', '#lpc', '#cpcldr??_']","['reminds', 'liberal', 'immigration', 'fraudster', 'monsef', 'avoiding', 'deportation', 'canada.', '#cdnpoli', '#lpc', '#cpcldr??_']","(1048576,[42826,111304,150794,219646,472734,541292,653379,698645,735095,796262,925755],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
3,#immigration #integration #canada ,"['#immigration', '#integration', '#canada']","['#immigration', '#integration', '#canada']","(1048576,[276351,294669,904354],[1.0,1.0,1.0])",1
4,We want controlled immigration that contributes positively to the UK economy. Same as Australia &amp; Canada. ,"['we', 'want', 'controlled', 'immigration', 'that', 'contributes', 'positively', 'to', 'the', 'uk', 'economy.', 'same', 'as', 'australia', '&amp;', 'canada.']","['want', 'controlled', 'immigration', 'contributes', 'positively', 'uk', 'economy.', 'australia', '&amp;', 'canada.']","(1048576,[70954,111304,150794,176491,190256,295842,697989,737310,831577,919615],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
5,Is the new Manitoba immigration fee a head tax? ,"['is', 'the', 'new', 'manitoba', 'immigration', 'fee', 'a', 'head', 'tax?']","['new', 'manitoba', 'immigration', 'fee', 'head', 'tax?']","(1048576,[29945,111304,363304,527527,741044,772234],[1.0,1.0,1.0,1.0,1.0,1.0])",0
6,Canada immigration profit influence modernistic delhi yet abhinav: XKofy ,"['canada', 'immigration', 'profit', 'influence', 'modernistic', 'delhi', 'yet', 'abhinav:', 'xkofy']","['canada', 'immigration', 'profit', 'influence', 'modernistic', 'delhi', 'yet', 'abhinav:', 'xkofy']","(1048576,[111304,307010,430580,448403,557974,626016,740769,892934,1045571],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
7,Canada Immigration Minister to ???Substantially Increase  Immigration Numbers ,"['canada', 'immigration', 'minister', 'to', '???substantially', 'increase', '', 'immigration', 'numbers']","['canada', 'immigration', 'minister', '???substantially', 'increase', '', 'immigration', 'numbers']","(1048576,[35883,37041,111304,626016,834251,987045,1035612],[1.0,1.0,2.0,1.0,1.0,1.0,1.0])",0
8,M??me les #USA=pays d'immigration par excellence CONTR??LE RIGOUREUSEMENT l'immigration et acc??s ?? la #GreenCARD!??_ ,"['m??me', 'les', '#usa=pays', ""d'immigration"", 'par', 'excellence', 'contr??le', 'rigoureusement', ""l'immigration"", 'et', 'acc??s', '??', 'la', '#greencard!??_']","['m??me', 'les', '#usa=pays', ""d'immigration"", 'par', 'excellence', 'contr??le', 'rigoureusement', ""l'immigration"", 'et', 'acc??s', '??', 'la', '#greencard!??_']","(1048576,[10668,59924,197796,362116,380848,432670,775858,789853,846161,860188,888429,916669,1004922,1023247],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
9,@Shawhelp what changes should be made to Canada's immigration laws due to the influx of immigration and violence?,"['@shawhelp', 'what', 'changes', 'should', 'be', 'made', 'to', ""canada's"", 'immigration', 'laws', 'due', 'to', 'the', 'influx', 'of', 'immigration', 'and', 'violence?']","['@shawhelp', 'changes', 'made', ""canada's"", 'immigration', 'laws', 'due', 'influx', 'immigration', 'violence?']","(1048576,[111304,204515,393775,468882,566861,665072,825283,975935,1003471],[2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])",0
