,text,features,prediction
843,At the apple store with @mention he's buying an iPad...I guess this is what geeks do when they're drunk hahaha #sxsw,"(1048576,[116875,128272,193102,269511,453320,462367,503244,529461,627436,879466],[6.78915941307,1.38124053661,5.94186155268,2.53354670325,7.48230659363,2.24763925416,0.615026147212,5.58518660874,5.80833016006,6.38369430496])",0
844,Pop up apple store in Austin @mention the #sxsw - LIVE at {link},"(1048576,[128272,174771,269511,412681,462367,503244,557341,569819,1039291],[1.38124053661,4.26343076876,2.53354670325,1.30643932352,2.24763925416,0.615026147212,5.24871437212,2.64338267721,3.04752939357])",0
855,"Sweet, Apple's opening a pop-up shop in the Scarbrough Building on Congress for the iPad 2 - {link} /via @mention #sxsw","(1048576,[78474,90428,128272,188229,319179,412681,489400,503244,569819,644655,733899,752271,760030,830193,998485],[4.68909858419,6.01596952484,1.38124053661,6.2783337893,3.94618989407,1.30643932352,5.74770553824,0.615026147212,2.64338267721,7.48230659363,4.8197187666,2.1085725878,5.36204305743,7.48230659363,2.8125978865])",0
856,"#SXSW #AppleStore  @mention Apple Store, SXSW {link}","(1048576,[128272,271673,376315,412681,437273,462367,503244,1035612],[1.38124053661,3.8187449475,6.63500873324,1.30643932352,5.05455835768,2.24763925416,0.615026147212,2.33481211682])",0
857,@mention plus Jackie was on the iPhone occasionally at #SXSW  {link} #UsGuys,"(1048576,[10444,56559,128272,362060,412681,489396,503244,780170,1035612],[7.48230659363,2.75491877492,1.38124053661,6.2783337893,1.30643932352,6.97148096986,0.615026147212,7.48230659363,2.33481211682])",0
868,Can you spot @mention iPhone? #SXSW {link},"(1048576,[128272,403052,412681,503244,961285],[1.38124053661,6.50147734062,1.30643932352,0.615026147212,5.87286868119])",0
869,@mention power struggles in the internet industry boil down to &quot;who is the platform &amp; who is the app?&quot; see Facebook on iPad. #sxsw,"(1048576,[6369,49250,128272,215995,244492,251864,383360,503244,513230,692668,731341,737310,785551,846009],[6.2783337893,5.63647990313,1.38124053661,3.77689783756,7.48230659363,7.48230659363,5.14693167781,0.615026147212,7.48230659363,5.6905471244,7.48230659363,3.0240908206,5.74770553824,5.94186155268])",0
873,The only ppl authoritzed to scrape and republish pages r Google on Bing and Bing on Google: @mention #qagb #sxsw,"(1048576,[83612,128272,182498,193282,341803,375536,495504,503244,578263,608365,790104,1039956],[7.48230659363,1.38124053661,5.87286868119,7.48230659363,6.50147734062,10.5701640326,5.74770553824,0.615026147212,7.48230659363,7.48230659363,7.48230659363,2.0086363396])",0
877,"Nice... Apple made a lots of sells, I am sure! - RT @mention Apple Popup Store at #SXSW {link}","(1048576,[128272,186127,248305,269511,397170,412681,456010,462367,503244,569819,665072,711419,1020582],[1.38124053661,7.48230659363,2.7003858959,2.53354670325,4.23711346044,1.30643932352,5.6905471244,4.49527850831,0.615026147212,2.64338267721,4.91735723617,7.48230659363,7.48230659363])",0
879,Add the Apple Pop-up Shop to your #SXSW @mention To-Do list -&gt; {link},"(1048576,[128272,202972,319179,412681,462367,503244,524992,538664,608880,733899],[1.38124053661,5.94186155268,3.94618989407,1.30643932352,2.24763925416,0.615026147212,7.48230659363,5.94186155268,6.2783337893,4.8197187666])",0
882,"Busiest Apple store in the country? #ipad2 #sxsw  {link} (@mention Apple Store, SXSW w/ 98 others) {link}","(1048576,[269511,271673,412681,437273,437943,462367,503244,573557,616898,636402,661562,896353,1029221,1035612],[2.53354670325,3.8187449475,2.61287864705,5.05455835768,4.30425276328,4.49527850831,0.615026147212,7.48230659363,7.48230659363,4.77425639253,5.53639644457,3.96579836546,7.48230659363,2.33481211682])",0
889,I &lt;3 Apple! RT @mention Apple opened a pop-up store in Austin so nerds in town for #SXSW can get new iPads {link},"(1048576,[29945,63765,128272,138572,248305,269511,298404,319179,362039,412681,462367,503244,623467,785399,907275,1039291],[2.66471681969,6.1830236095,1.38124053661,6.97148096986,2.7003858959,2.53354670325,6.78915941307,3.94618989407,3.36598312469,1.30643932352,2.24763925416,0.615026147212,6.63500873324,5.53639644457,5.63647990313,3.04752939357])",0
893,Android apps to survive SXSW 2011: {link} (by @mention #sxsw,"(1048576,[128272,269206,271673,287291,412681,503244,828527,852300,910592],[1.38124053661,4.64909324957,3.8187449475,3.8447204339,1.30643932352,0.615026147212,6.63500873324,7.48230659363,6.97148096986])",0
