,text,label,prediction
0,"Interested in a #job in #Columbus, GA? This could be a great fit: https://t.co/YmLlHRWh6a #Transportation #Hiring #CareerArc",0,6
1,"APRS-IS for Win32 (@ Practice With The Bestiw in Virginia Beach, VA) https://t.co/eMvCwlWubB",0,6
2,"Can you recommend anyone for this #job in #CottonwoodFalls, KS? https://t.co/bw4E7XTnkH #Finance #Hiring #CareerArc",0,6
3,Lane restrictions lifted in #Innerbelt on I-90 EB between I-77 and Superior Ave #traffic https://t.co/IXfI2jHBEJ,0,6
4,"N4TRQ-15 Near Practice With The Bestiw, Virginia Beach, VA https://t.co/wib5TyOdAh #APRS 13b",0,6
5,"As June comes to an end, so does my look at the eccentric cool, Robert Mapplethorpe. This was the last self portrai… https://t.co/n9j8nqHZgV",0,2
6,"2427 Grand Conco… https://t.co/sgEs2X6NTP""",0,6
7,"Catch me spinning today in Oakland from 2-3pm with… https://t.co/HcwKKewIo9""",0,6
8,"#sonya7iii #cinematicphotography #somewheretravel #imaginarymagnitude #phroommagazine… https://t.co/FJjMw8mDA8""",0,6
9,"Just posted a photo @ The Moorings Marina, Tortola, British Virgin Islands https://t.co/Adqae8unkN",0,6
10,"Episode 108 of Pop Culture Confidential, my extra special interview with TV legend Henry Winkler! And he could not… https://t.co/Pla2OVCkkj",0,6
11,Cleared: Incident on #GeorgeWashingtonBridge EB at New Jersey Side/Upper Level Toll Plaza,0,6
12,? RT @chelzwho: @Quisaveli Gimme a dollar lol Big money,0,6
13,Exploring #highfalls on our first little trip away with the babe this weekend jessicafrasz #wakkawakkawalker @ High… https://t.co/ZMg9qPm2p6,0,6
14,"PLAYING CATCH-UP DIS WEEKEND?? #WRKFLO #GOODMONEY?? #SWAMPED #BUTENJOYEDMYBDAITHO ???? @ Chesterfield, Virginia https://t.co/Eka7ao8S6P",0,6
15,Hey is this where the party’s at ... last nights project ... I’ve always wanted to mess with the original since the… https://t.co/h1B8kSQfP1,0,6
16,Love ?? the skin your in embrace your body!! No matter what size we are all beautiful ? ps: inspired by miss Kim Ka… https://t.co/bZ5hGv3IB6,0,6
17,Temp 74.2°F Wind Chill 74.2 °F RH 80% Wind 1.4 WSW Gust 5.0 WSW SLP 30.087 in Rising slowly Rain 0.00 in Solar 70 UV 1.7 #VAWX #SWVAWX #WVWX,0,6
18,We're #hiring! Read about our latest #job opening here: Route Service Sales Representative (4 day workweek) -… https://t.co/EJSGgZDhzZ,0,6
19,"I'm at US Post Office in Dumfries, VA https://t.co/FVOe7UtH9e",0,6
20,Kitty. #cat #catstagram #kitties #kitty #instagram #instacute #instadaily #instagramers  #instagramdaily #cute… https://t.co/yzifxihXKv,0,6
21,Come visit me at @truereligion at @southparkmallnc from 10-3pm #truereligion #southpark #southparkmall #malljob… https://t.co/pBJ7MhCre4,0,6
22,That’s a wrap for Camp JAM 2018! Thank you to all of our volunteers and to the parents for sharing your children wi… https://t.co/TfSqeN5H71,0,6
23,"12 yrs old.... 7th GRADE STEM STUDE… https://t.co/1utlav3Qsb""",0,6
24,"8 weeks old and FULL of energy! #boykinsofinstagram #yetipups @ Surfside Beach, South Carolina https://t.co/XdAv4QIkvl",0,6
25,"Can you recommend anyone for this #job? SQL Report Developer - https://t.co/bRlAe8xgHw #Database #Orlando, FL #Hiring #CareerArc",0,6
26,"Did you miss our webinar on how to measure and make the most of your #Trucking company’s resources? No worries, you… https://t.co/0cEUauX996",0,6
27,"#memphis #memphisdesigner #customframing @ Frame Corner, Inc. https://t.co/SUa5tdm5BQ",0,6
28,Giving the stink eye to this joint..charged me 3 bucks for 1 tomato and 1 small head of lettuce..that tomato better… https://t.co/LfzTmHSPu7,0,6
29,Off to the Market with the Mayor @dawn_moncton #farmersmarket #monctonmarket #mymoncton #moncton #monctonnb @ March… https://t.co/b5qYHThn5G,0,6
30,"Allez les Bleus!!! @ Brooklyn, New York https://t.co/M3mcVgoGqB",0,6
31,"I'm at JFK AirTrain - Jamaica Station in Jamaica, NY https://t.co/PAqB70xow3 https://t.co/bsyGmS1ZSy",0,6
32,Tonight live music in Carlsbad  83 Degrees with PSYDECAR vibing 9pm-12! psydecar 83degreescarlsbad #psydecar… https://t.co/885nRECxdN,0,6
33,#captionthis #eh #feedme #whataboutit #aspecialnightout #letseat #myfriends @ Fat Rice https://t.co/ZXcno3VQSg,0,6
34,Carolina Weather - Current Local Conditions @ 10:00 AM. #Clayton #NC #Wc https://t.co/1BiIbkMt8C,1,6
35,07:00 84F(Hi86/Lo77) Feels like 78F Wind SSE 2-&gt;3mph (Lt Air) Hum 16% Baro 29.94(+) Solar 239 UV 0.0 ET 0.040 Cloud… https://t.co/WXcBeX2L2u,0,6
36,"I'm at Rite Aid in Dumfries, VA https://t.co/6H0wFpCEMs",0,6
37,And let the games begin. #fifaworldcup #coffee #myfathercigars #donpepingarcia #seriesjj #2011 #aged #cigars… https://t.co/abnYis3iS1,0,0
38,"Great week of work for me at Rush Truck Centers this past week. On this sale, I was informed a month ago that we wo… https://t.co/OABTfSmztk",0,6
39,? #DUDEALERT A lot of LOUD noises heard in Peoria last night. usabchamps starts Sunday. #stormbeforethebigstorm… https://t.co/PNQjmbFo49,0,6
40,I just finished canicross running 3.99 km in 58m:32s with #Endomondo #endorphins https://t.co/QiYHJj4poS,0,6
41,"One of the most beautiful places on Earth.   The people here are so very friendly.  If u can, take a trip down. @ A… https://t.co/DtQhml6Q5y",0,6
42,"I'm at Ac Hotel By Marriott Parking Garage in Dublin, OH https://t.co/j4l2su546p",0,6
43,All smiles heading into a weekend at the beach with the besties ? !!! I definitely am obsessed with denim skirts la… https://t.co/LSsUmkXVha,0,6
44,We're always looking for great people to join us here at AMC Theatres. Check out our latest opening!… https://t.co/cr5UJKZPV9,0,6
45,folks..... it's soccer time,0,6
46,This week marked another step in my career as I’m officially a Republic Airline Ambassador for floridatech Unbeliev… https://t.co/8FAJBA2Tg9,1,6
47,"Crevalle Jack, Jack Fish @ Biloxi, Mississippi https://t.co/eLrAOZHpCV",0,6
48,"Anniversary breakfast!!! Thanks to beautiful children and the better halves (@ Waffles INcaffeinated in Beaver, PA) https://t.co/L5B5jmnx7y",0,6
49,LET’S TALK ABOUT FEELING STRONG ?? I remember showing up to my first day of soccer tryouts in HS and sobbing in the… https://t.co/teaUksx9xJ,0,6
50,"Quick turnaround (@ Rocky Mountain Warehouse Lofts in Denver, CO) https://t.co/2fZH1zBdDa",0,6
51,"Wind 2.2 mph SE. Barometer 30.23 in, Rising. Temperature 86.8 °F. Rain today 0.00 in. Humidity 72%",0,6
52,"#charlestonwedding… https://t.co/95QtJ01Lrx""",0,6
53,"Accident. two left lanes blocked in #ChevyChase on The Beltway Outer Loop at Connecticut Ave, jammed back to MD-193, delay of 13 mins",0,6
54,Enjoying Saturday morning coffee in my #wvalmostheaven #fiestaware mug given to me by my friend bobashleywv @ Charl… https://t.co/0zhwtiQUpB,1,6
55,Join the MedExpress team! See our latest #job opening here: https://t.co/VPjciLDfar #urgentcare #Healthcare… https://t.co/CBytEjqIma,0,6
56,"If you're looking for work in #MtOlive, NC, check out this #job: https://t.co/mlwVSBYWsC #Healthcare #Hiring #CareerArc",0,6
57,Where are the girls?  Where are the babies? Use your voice. Today's rally is just one of 700 happening around the U… https://t.co/aMlsHUeJTc,0,6
58,"I'm at The Lazy Pig BBQ &amp; Catering in Triangle, VA https://t.co/RZqJG4ML13",0,6
59,"I recently updated a 2 year vision for myself, along with goals and behaviors. Yesterday I found myself in the midd… https://t.co/7Svg4MEzPS",0,6
60,"2nd session (scroll for previous session...she heals AMAZING!!!) on this sparrow, dogwood flowers, and birth flower… https://t.co/GOxW0bfzzz",0,6
61,"I'm at Glenside, PA in PA https://t.co/43kcDOukKM",0,3
62,Is Art School Only for the Young?  https://t.co/qcMsY82HhA,0,6
63,Whistler's Newest Products (CE Week 2018)  https://t.co/Yx88jO2rtZ,0,4
64,"Beyond Roe, Bork and Trump: Can Americans find a way to discuss hot moral issues?  https://t.co/CanYVbnspo",0,6
65,#iufb #Hoosiers #IUnit19 Recapping the Wild Month of June of IU Football Recruiting  https://t.co/eGWsdUG2n7,0,6
66,"Beyond Roe, Bork and Trump: Can Americans find a way to discuss hot moral issues?  https://t.co/rQYP9ScXe5",0,6
67,"I'm at Welwyn preserve in Glen Cove, NY https://t.co/XUz1emGZVC",0,6
68,"I’m in control of my destiny, never in doubt?????? #HappyCashDayMontana @ Union EAV https://t.co/T2t41y5E9h",0,6
69,After You March  https://t.co/ETwfpA7CtB,0,6
70,"Congrats Ho. Can u break a £? @ Los Angeles, California https://t.co/OqdhaPNFuZ",0,6
71,"See our latest #SanFrancisco, CA #job and click to apply: Front End Software Engineer - https://t.co/xTBdxyA94C #Engineering #Hiring",0,6
72,"BIG SHOTS RALEIGH INVITATIONAL TOURNAMENT 2  (Raleigh, NC | 17U-9U Boys &amp; Girls) ~ 12U Boys ~ Raising Young Men def… https://t.co/Fd1s2afdgI",0,6
73,Just posted a photo @ Central Park https://t.co/q9vUTPQlzi,0,6
74,Kudos to this Merrillville Police Department officer for patrolling the Erie-Lackawanna Trail this morning during t… https://t.co/4MmBheNPi9,0,6
