,text,label,tokens,stopWordsRemovedTokens,rawFeatures,features,prediction
0,"Can you recommend anyone for this #job in #Minneapolis, MN? https://t.co/S7ql88L9b6 #BusinessMgmt #Hiring #CareerArc",0,"['can', 'you', 'recommend', 'anyone', 'for', 'this', '#job', 'in', '#minneapolis,', 'mn?', 'https://t.co/s7ql88l9b6', '#businessmgmt', '#hiring', '#careerarc']","['recommend', 'anyone', '#job', '#minneapolis,', 'mn?', 'https://t.co/s7ql88l9b6', '#businessmgmt', '#hiring', '#careerarc']","(1048576,[109747,122254,129613,138193,546607,695983,754660,754819,993918],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[109747,122254,129613,138193,546607,695983,754660,754819,993918],[5.13873529672,2.3978952728,3.63465789995,3.52929738429,2.27653441579,2.36614657448,4.44558811616,5.13873529672,4.44558811616])",4
1,"If you're looking for work in #Memphis, TN, check out this #job: https://t.co/Y7EwJiLrkP #Pharmaceutical #Hiring #CareerArc",0,"['if', ""you're"", 'looking', 'for', 'work', 'in', '#memphis,', 'tn,', 'check', 'out', 'this', '#job:', 'https://t.co/y7ewjilrkp', '#pharmaceutical', '#hiring', '#careerarc']","['looking', 'work', '#memphis,', 'tn,', 'check', '#job:', 'https://t.co/y7ewjilrkp', '#pharmaceutical', '#hiring', '#careerarc']","(1048576,[60600,309997,546607,627942,695983,820775,991355,1006010,1024132,1033971],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[60600,309997,546607,627942,695983,820775,991355,1006010,1024132,1033971],[5.13873529672,3.43398720449,2.27653441579,4.73327018862,2.36614657448,2.88744349812,3.12383227618,3.3469758275,4.73327018862,5.13873529672])",4
2,@sadbutbad You wanted to go to the Midwest,0,"['@sadbutbad', 'you', 'wanted', 'to', 'go', 'to', 'the', 'midwest']","['@sadbutbad', 'wanted', 'go', 'midwest']","(1048576,[344193,608578,696765,976787],[1.0,1.0,1.0,1.0])","(1048576,[344193,608578,696765,976787],[5.13873529672,5.13873529672,4.04012300806,5.13873529672])",4
3,"Are you a #healthcare #professional in the #Springfield, IL area? If so, we want to hear from you! One of our clien… https://t.co/FfMvqcSjIt",0,"['are', 'you', 'a', '#healthcare', '#professional', 'in', 'the', '#springfield,', 'il', 'area?', 'if', 'so,', 'we', 'want', 'to', 'hear', 'from', 'you!', 'one', 'of', 'our', 'clien…', 'https://t.co/ffmvqcsjit']","['#healthcare', '#professional', '#springfield,', 'il', 'area?', 'so,', 'want', 'hear', 'you!', 'one', 'clien…', 'https://t.co/ffmvqcsjit']","(1048576,[190256,295620,302149,426190,558955,635658,649660,768101,775076,807596,812215,894629],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[190256,295620,302149,426190,558955,635658,649660,768101,775076,807596,812215,894629],[3.88597232823,5.13873529672,5.13873529672,5.13873529672,4.73327018862,5.13873529672,3.52929738429,5.13873529672,5.13873529672,5.13873529672,5.13873529672,5.13873529672])",4
4,@tinycarebot I saw @jonnysun on Seth Meyers and I am fascinated and charmed by you both.,0,"['@tinycarebot', 'i', 'saw', '@jonnysun', 'on', 'seth', 'meyers', 'and', 'i', 'am', 'fascinated', 'and', 'charmed', 'by', 'you', 'both.']","['@tinycarebot', 'saw', '@jonnysun', 'seth', 'meyers', 'fascinated', 'charmed', 'both.']","(1048576,[47471,79713,227686,470985,666435,793413,846121,895983],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[47471,79713,227686,470985,666435,793413,846121,895983],[5.13873529672,5.13873529672,5.13873529672,4.73327018862,5.13873529672,5.13873529672,5.13873529672,5.13873529672])",1
5,So happy to have you here! ? https://t.co/SPb70ItpOk,0,"['so', 'happy', 'to', 'have', 'you', 'here!', '?', 'https://t.co/spb70itpok']","['happy', 'here!', '?', 'https://t.co/spb70itpok']","(1048576,[86293,391712,466348,781078],[1.0,1.0,1.0,1.0])","(1048576,[86293,391712,466348,781078],[4.22244456485,5.13873529672,5.13873529672,5.13873529672])",4
6,"Can you recommend anyone for this #job? Inspector - Petroleum - https://t.co/6G1fjaL8QB #QA #Cushing, OK #Hiring #CareerArc",0,"['can', 'you', 'recommend', 'anyone', 'for', 'this', '#job?', 'inspector', '-', 'petroleum', '-', 'https://t.co/6g1fjal8qb', '#qa', '#cushing,', 'ok', '#hiring', '#careerarc']","['recommend', 'anyone', '#job?', 'inspector', '-', 'petroleum', '-', 'https://t.co/6g1fjal8qb', '#qa', '#cushing,', 'ok', '#hiring', '#careerarc']","(1048576,[122516,129613,138193,210730,300233,339710,353338,546607,569819,695983,705179,951537],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0])","(1048576,[122516,129613,138193,210730,300233,339710,353338,546607,569819,695983,705179,951537],[3.88597232823,3.63465789995,3.52929738429,5.13873529672,5.13873529672,4.22244456485,5.13873529672,2.27653441579,5.14757187852,2.36614657448,5.13873529672,4.73327018862])",4
7,"Join the Staff Care team! See our latest #job opening here: https://t.co/oPFNWWjWNS #CRNA #NorthPlatte, NE #Hiring #CareerArc",0,"['join', 'the', 'staff', 'care', 'team!', 'see', 'our', 'latest', '#job', 'opening', 'here:', 'https://t.co/opfnwwjwns', '#crna', '#northplatte,', 'ne', '#hiring', '#careerarc']","['join', 'staff', 'care', 'team!', 'see', 'latest', '#job', 'opening', 'here:', 'https://t.co/opfnwwjwns', '#crna', '#northplatte,', 'ne', '#hiring', '#careerarc']","(1048576,[78474,122254,215995,366731,434352,546607,695983,720578,729210,752218,770186,895662,923267,938305,1021672],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[78474,122254,215995,366731,434352,546607,695983,720578,729210,752218,770186,895662,923267,938305,1021672],[3.19282514767,2.3978952728,2.83615020373,3.3469758275,3.52929738429,2.27653441579,2.36614657448,4.73327018862,5.13873529672,5.13873529672,2.88744349812,5.13873529672,5.13873529672,4.73327018862,3.43398720449])",4
8,"This #job might be a great fit for you: Hair Stylist - https://t.co/RAH54iFVai #Cosmetology #Omaha, NE #Hiring #CareerArc",0,"['this', '#job', 'might', 'be', 'a', 'great', 'fit', 'for', 'you:', 'hair', 'stylist', '-', 'https://t.co/rah54ifvai', '#cosmetology', '#omaha,', 'ne', '#hiring', '#careerarc']","['#job', 'might', 'great', 'fit', 'you:', 'hair', 'stylist', '-', 'https://t.co/rah54ifvai', '#cosmetology', '#omaha,', 'ne', '#hiring', '#careerarc']","(1048576,[122254,137751,138356,144543,388975,409945,546607,569819,647830,695983,720578,913200,939746,943069],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[122254,137751,138356,144543,388975,409945,546607,569819,647830,695983,720578,913200,939746,943069],[2.3978952728,5.13873529672,3.52929738429,5.13873529672,4.22244456485,4.22244456485,2.27653441579,2.57378593926,4.73327018862,2.36614657448,4.73327018862,5.13873529672,5.13873529672,4.22244456485])",4
9,"Want to work at 24 Seven? We're #hiring in #KansasCity, KS! Click for details: https://t.co/QkZPG4CLdJ #Art #Job #Jobs #CareerArc",0,"['want', 'to', 'work', 'at', '24', 'seven?', ""we're"", '#hiring', 'in', '#kansascity,', 'ks!', 'click', 'for', 'details:', 'https://t.co/qkzpg4cldj', '#art', '#job', '#jobs', '#careerarc']","['want', 'work', '24', 'seven?', '#hiring', '#kansascity,', 'ks!', 'click', 'details:', 'https://t.co/qkzpg4cldj', '#art', '#job', '#jobs', '#careerarc']","(1048576,[122254,187043,190256,390334,546607,676151,689078,695983,745986,770642,820775,885348,1015867,1031255],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[122254,187043,190256,390334,546607,676151,689078,695983,745986,770642,820775,885348,1015867,1031255],[2.3978952728,5.13873529672,3.88597232823,5.13873529672,2.27653441579,4.73327018862,4.73327018862,2.36614657448,4.44558811616,5.13873529672,2.88744349812,4.44558811616,5.13873529672,3.43398720449])",4
10,CWGH@20: Celebrating two decades of Organising People's Power for Health in #Zimbabwe https://t.co/ngr91E27bx,0,"['cwgh@20:', 'celebrating', 'two', 'decades', 'of', 'organising', ""people's"", 'power', 'for', 'health', 'in', '#zimbabwe', 'https://t.co/ngr91e27bx']","['cwgh@20:', 'celebrating', 'two', 'decades', 'organising', ""people's"", 'power', 'health', '#zimbabwe', 'https://t.co/ngr91e27bx']","(1048576,[6369,15664,37994,39996,72249,189562,255506,408371,576656,1025252],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[6369,15664,37994,39996,72249,189562,255506,408371,576656,1025252],[5.13873529672,4.22244456485,5.13873529672,5.13873529672,5.13873529672,5.13873529672,5.13873529672,5.13873529672,5.13873529672,4.73327018862])",4
