,text,label,location,tokens,stopWordsRemovedTokens,rawFeatures,features,prediction
0,"Interested in a #job in #Columbus, GA? This could be a great fit: https://t.co/YmLlHRWh6a #Transportation #Hiring #CareerArc",0,"[-84.9877094, 32.4609764]","['interested', 'in', 'a', '#job', 'in', '#columbus,', 'ga?', 'this', 'could', 'be', 'a', 'great', 'fit:', 'https://t.co/ymllhrwh6a', '#transportation', '#hiring', '#careerarc']","['interested', '#job', '#columbus,', 'ga?', 'great', 'fit:', 'https://t.co/ymllhrwh6a', '#transportation', '#hiring', '#careerarc']","(1048576,[122254,138356,235528,348720,360441,546607,573363,695983,778244,862424],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[122254,138356,235528,348720,360441,546607,573363,695983,778244,862424],[2.64920970108,3.20882548901,3.90197266957,3.90197266957,3.90197266957,2.64920970108,3.90197266957,2.51567830845,3.90197266957,3.90197266957])",6
1,"APRS-IS for Win32 (@ Practice With The Bestiw in Virginia Beach, VA) https://t.co/eMvCwlWubB",0,"[-76.16481721, 36.86911941]","['aprs-is', 'for', 'win32', '(@', 'practice', 'with', 'the', 'bestiw', 'in', 'virginia', 'beach,', 'va)', 'https://t.co/emvcwlwubb']","['aprs-is', 'win32', '(@', 'practice', 'bestiw', 'virginia', 'beach,', 'va)', 'https://t.co/emvcwlwubb']","(1048576,[111598,177441,204984,243545,278910,439193,637322,832027,932350],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[111598,177441,204984,243545,278910,439193,637322,832027,932350],[3.90197266957,3.90197266957,3.49650756147,3.20882548901,3.90197266957,3.90197266957,3.90197266957,3.20882548901,3.20882548901])",6
2,"Can you recommend anyone for this #job in #CottonwoodFalls, KS? https://t.co/bw4E7XTnkH #Finance #Hiring #CareerArc",0,"[-96.5427845, 38.3722364]","['can', 'you', 'recommend', 'anyone', 'for', 'this', '#job', 'in', '#cottonwoodfalls,', 'ks?', 'https://t.co/bw4e7xtnkh', '#finance', '#hiring', '#careerarc']","['recommend', 'anyone', '#job', '#cottonwoodfalls,', 'ks?', 'https://t.co/bw4e7xtnkh', '#finance', '#hiring', '#careerarc']","(1048576,[122254,129613,138193,435438,546607,657864,695983,898516,1033602],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[122254,129613,138193,435438,546607,657864,695983,898516,1033602],[2.64920970108,3.20882548901,3.20882548901,3.90197266957,2.64920970108,3.90197266957,2.51567830845,3.90197266957,3.90197266957])",6
3,Lane restrictions lifted in #Innerbelt on I-90 EB between I-77 and Superior Ave #traffic https://t.co/IXfI2jHBEJ,0,"[-81.67952, 41.49531]","['lane', 'restrictions', 'lifted', 'in', '#innerbelt', 'on', 'i-90', 'eb', 'between', 'i-77', 'and', 'superior', 'ave', '#traffic', 'https://t.co/ixfi2jhbej']","['lane', 'restrictions', 'lifted', '#innerbelt', 'i-90', 'eb', 'i-77', 'superior', 'ave', '#traffic', 'https://t.co/ixfi2jhbej']","(1048576,[198738,201125,261079,268509,427080,665077,698342,818019,883132,914287,935922],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[198738,201125,261079,268509,427080,665077,698342,818019,883132,914287,935922],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.49650756147])",6
4,"N4TRQ-15 Near Practice With The Bestiw, Virginia Beach, VA https://t.co/wib5TyOdAh #APRS 13b",0,"[-76.16517, 36.86933]","['n4trq-15', 'near', 'practice', 'with', 'the', 'bestiw,', 'virginia', 'beach,', 'va', 'https://t.co/wib5tyodah', '#aprs', '13b']","['n4trq-15', 'near', 'practice', 'bestiw,', 'virginia', 'beach,', 'va', 'https://t.co/wib5tyodah', '#aprs', '13b']","(1048576,[6836,28682,204984,243545,270994,412422,489774,586846,758478,832027],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[6836,28682,204984,243545,270994,412422,489774,586846,758478,832027],[3.90197266957,3.90197266957,3.49650756147,3.20882548901,3.90197266957,3.90197266957,2.9856819377,3.90197266957,3.90197266957,3.20882548901])",6
5,"As June comes to an end, so does my look at the eccentric cool, Robert Mapplethorpe. This was the last self portrai… https://t.co/n9j8nqHZgV",0,"[-118.38892693, 34.08721541]","['as', 'june', 'comes', 'to', 'an', 'end,', 'so', 'does', 'my', 'look', 'at', 'the', 'eccentric', 'cool,', 'robert', 'mapplethorpe.', 'this', 'was', 'the', 'last', 'self', 'portrai…', 'https://t.co/n9j8nqhzgv']","['june', 'comes', 'end,', 'look', 'eccentric', 'cool,', 'robert', 'mapplethorpe.', 'last', 'self', 'portrai…', 'https://t.co/n9j8nqhzgv']","(1048576,[4274,35854,190665,364678,529669,530339,572936,575012,581003,695580,915192,1010195],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[4274,35854,190665,364678,529669,530339,572936,575012,581003,695580,915192,1010195],[3.90197266957,3.90197266957,3.90197266957,3.49650756147,3.20882548901,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",2
6,"2427 Grand Conco… https://t.co/sgEs2X6NTP""",0,"[-73.8612901, 40.84584124]","['2427', 'grand', 'conco…', 'https://t.co/sges2x6ntp""']","['2427', 'grand', 'conco…', 'https://t.co/sges2x6ntp""']","(1048576,[50204,881178,977216,1028681],[1.0,1.0,1.0,1.0])","(1048576,[50204,881178,977216,1028681],[3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
7,"Catch me spinning today in Oakland from 2-3pm with… https://t.co/HcwKKewIo9""",0,"[-122.26904, 37.8023499]","['catch', 'me', 'spinning', 'today', 'in', 'oakland', 'from', '2-3pm', 'with…', 'https://t.co/hcwkkewio9""']","['catch', 'spinning', 'today', 'oakland', '2-3pm', 'with…', 'https://t.co/hcwkkewio9""']","(1048576,[374859,406038,526039,541594,544082,927523,938519],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[374859,406038,526039,541594,544082,927523,938519],[3.90197266957,2.11021320035,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
8,"#sonya7iii #cinematicphotography #somewheretravel #imaginarymagnitude #phroommagazine… https://t.co/FJjMw8mDA8""",0,"[-73.94472222, 40.66305556]","['#sonya7iii', '#cinematicphotography', '#somewheretravel', '#imaginarymagnitude', '#phroommagazine…', 'https://t.co/fjjmw8mda8""']","['#sonya7iii', '#cinematicphotography', '#somewheretravel', '#imaginarymagnitude', '#phroommagazine…', 'https://t.co/fjjmw8mda8""']","(1048576,[106458,512464,566364,609366,732465,798538],[1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[106458,512464,566364,609366,732465,798538],[3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
9,"Just posted a photo @ The Moorings Marina, Tortola, British Virgin Islands https://t.co/Adqae8unkN",0,"[-64.61464743, 18.42619215]","['just', 'posted', 'a', 'photo', '@', 'the', 'moorings', 'marina,', 'tortola,', 'british', 'virgin', 'islands', 'https://t.co/adqae8unkn']","['posted', 'photo', '@', 'moorings', 'marina,', 'tortola,', 'british', 'virgin', 'islands', 'https://t.co/adqae8unkn']","(1048576,[9103,326850,348957,401844,593730,625704,666614,692392,734470,1008717],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(1048576,[9103,326850,348957,401844,593730,625704,666614,692392,734470,1008717],[3.49650756147,3.90197266957,3.49650756147,3.90197266957,1.55059741241,3.90197266957,3.90197266957,3.90197266957,3.90197266957,3.90197266957])",6
