,text,tokens,stopWordsRemovedTokens,rawFeatures,features,topicDistribution
0,@OurbabyMinx @WildWhiskeyRant killed and tried to go to Canada illegally and see what there immigration policy is. You don't have a cont.,"['@ourbabyminx', '@wildwhiskeyrant', 'killed', 'and', 'tried', 'to', 'go', 'to', 'canada', 'illegally', 'and', 'see', 'what', 'there', 'immigration', 'policy', 'is.', 'you', ""don't"", 'have', 'a', 'cont.']","['@ourbabyminx', '@wildwhiskeyrant', 'killed', 'tried', 'go', 'canada', 'illegally', 'see', 'immigration', 'policy', 'is.', 'cont.']","(2000,[77,448,598,708,963,998,1231,1268,1448,1488,1515,1884],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[77,448,598,708,963,998,1231,1268,1448,1488,1515,1884],[4.02609546169,0.0,3.87194478186,0.0,5.41238982281,4.71924264225,0.0,0.0,1.19043413599,1.22779838274,4.11310683868,5.41238982281])","[0.431941670662,0.568058329338]"
1,L??immigration irr?guli??re au Canada d?cortiqu?e en 5??questions ,"['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5??questions']","['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5??questions']","(2000,[246,302,880,1003,1488,1583,1944],[1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[246,302,880,1003,1488,1583,1944],[3.51526983792,4.49609909093,4.25971031287,3.41995965812,1.22779838274,5.12470775036,4.49609909093])","[0.598770342135,0.401229657865]"
2,Reminds me of Liberal Immigration Fraudster Monsef avoiding deportation from Canada. #cdnpoli #LPC #CPCLDR??_ ,"['reminds', 'me', 'of', 'liberal', 'immigration', 'fraudster', 'monsef', 'avoiding', 'deportation', 'from', 'canada.', '#cdnpoli', '#lpc', '#cpcldr??_']","['reminds', 'liberal', 'immigration', 'fraudster', 'monsef', 'avoiding', 'deportation', 'canada.', '#cdnpoli', '#lpc', '#cpcldr??_']","(2000,[71,186,394,643,779,1189,1448,1534,1694,1718,1740],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[71,186,394,643,779,1189,1448,1534,1694,1718,1740],[4.56509196242,5.12470775036,3.62063035358,0.0,0.0,5.0069247147,1.19043413599,5.12470775036,5.0069247147,3.41995965812,0.0])","[0.519725212723,0.480274787277]"
3,#immigration #integration #canada ,"['#immigration', '#integration', '#canada']","['#immigration', '#integration', '#canada']","(2000,[61,642,1983],[1.0,1.0,1.0])","(2000,[61,642,1983],[3.02976202214,2.99945667264,5.41238982281])","[0.525055424033,0.474944575967]"
4,We want controlled immigration that contributes positively to the UK economy. Same as Australia &amp; Canada. ,"['we', 'want', 'controlled', 'immigration', 'that', 'contributes', 'positively', 'to', 'the', 'uk', 'economy.', 'same', 'as', 'australia', '&amp;', 'canada.']","['want', 'controlled', 'immigration', 'contributes', 'positively', 'uk', 'economy.', 'australia', '&amp;', 'canada.']","(2000,[194,394,558,575,683,1269,1402,1448,1449,1712],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[194,394,558,575,683,1269,1402,1448,1449,1712],[4.71924264225,3.62063035358,3.25290557345,0.0,0.0,4.71924264225,5.12470775036,1.19043413599,5.0069247147,4.25971031287])","[0.464472529981,0.535527470019]"
5,Is the new Manitoba immigration fee a head tax? ,"['is', 'the', 'new', 'manitoba', 'immigration', 'fee', 'a', 'head', 'tax?']","['new', 'manitoba', 'immigration', 'fee', 'head', 'tax?']","(2000,[25,196,1064,1258,1287,1448],[1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[25,196,1064,1258,1287,1448],[3.27232365931,4.56509196242,5.0069247147,4.31377753414,0.0,1.19043413599])","[0.457997409608,0.542002590392]"
6,Canada immigration profit influence modernistic delhi yet abhinav: XKofy ,"['canada', 'immigration', 'profit', 'influence', 'modernistic', 'delhi', 'yet', 'abhinav:', 'xkofy']","['canada', 'immigration', 'profit', 'influence', 'modernistic', 'delhi', 'yet', 'abhinav:', 'xkofy']","(2000,[163,193,406,658,835,1286,1348,1448,1488],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[163,193,406,658,835,1286,1348,1448,1488],[5.12470775036,4.80625401924,4.63919993457,5.41238982281,5.0069247147,0.0,5.0069247147,1.19043413599,1.22779838274])","[0.590232176065,0.409767823935]"
7,Canada Immigration Minister to ???Substantially Increase  Immigration Numbers ,"['canada', 'immigration', 'minister', 'to', '???substantially', 'increase', '', 'immigration', 'numbers']","['canada', 'immigration', 'minister', '???substantially', 'increase', '', 'immigration', 'numbers']","(2000,[667,1372,1448,1488,1589,1633,1963],[1.0,1.0,2.0,1.0,1.0,1.0,1.0])","(2000,[667,1372,1448,1488,1589,1633,1963],[5.0069247147,2.79743004477,2.38086827199,1.22779838274,4.56509196242,4.37093594798,4.80625401924])","[0.406177730831,0.593822269169]"
8,M??me les #USA=pays d'immigration par excellence CONTR??LE RIGOUREUSEMENT l'immigration et acc??s ?? la #GreenCARD!??_ ,"['m??me', 'les', '#usa=pays', ""d'immigration"", 'par', 'excellence', 'contr??le', 'rigoureusement', ""l'immigration"", 'et', 'acc??s', '??', 'la', '#greencard!??_']","['m??me', 'les', '#usa=pays', ""d'immigration"", 'par', 'excellence', 'contr??le', 'rigoureusement', ""l'immigration"", 'et', 'acc??s', '??', 'la', '#greencard!??_']","(2000,[68,164,404,493,544,785,863,1309,1420,1500,1530,1566,1586,1981],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[68,164,404,493,544,785,863,1309,1420,1500,1530,1566,1586,1981],[5.0069247147,5.12470775036,4.80625401924,4.63919993457,0.0,4.90156419904,4.31377753414,0.0,4.63919993457,0.0,5.41238982281,4.31377753414,3.98527346717,4.63919993457])","[0.296674721585,0.703325278415]"
9,@Shawhelp what changes should be made to Canada's immigration laws due to the influx of immigration and violence?,"['@shawhelp', 'what', 'changes', 'should', 'be', 'made', 'to', ""canada's"", 'immigration', 'laws', 'due', 'to', 'the', 'influx', 'of', 'immigration', 'and', 'violence?']","['@shawhelp', 'changes', 'made', ""canada's"", 'immigration', 'laws', 'due', 'influx', 'immigration', 'violence?']","(2000,[285,754,911,1055,1279,1344,1363,1448,1571],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0])","(2000,[285,754,911,1055,1279,1344,1363,1448,1571],[0.0,3.44294917634,4.90156419904,0.0,4.11310683868,5.0069247147,3.80295191037,2.38086827199,5.12470775036])","[0.42733996224,0.57266003776]"
10,L??immigration irr?guli??re au Canada d?cortiqu?e en 5 questions ,"['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions']","['l??immigration', 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions']","(2000,[246,302,727,880,1003,1488,1849,1944],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[246,302,727,880,1003,1488,1849,1944],[3.51526983792,4.49609909093,4.4315605698,4.25971031287,3.41995965812,1.22779838274,4.11310683868,4.49609909093])","[0.644525626504,0.355474373496]"
11,L'immigration irr?guli??re au Canada d?cortiqu?e en 5 questions - ,"[""l'immigration"", 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions', '-']","[""l'immigration"", 'irr?guli??re', 'au', 'canada', 'd?cortiqu?e', 'en', '5', 'questions', '-']","(2000,[68,246,302,727,880,1003,1488,1499,1849],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[68,246,302,727,880,1003,1488,1499,1849],[5.0069247147,3.51526983792,4.49609909093,4.4315605698,4.25971031287,3.41995965812,1.22779838274,2.40835874644,4.11310683868])","[0.58758033353,0.41241966647]"
12,Will Media ask the Liberals if they actually have a solid plan for Canada _??_?_?? From my view -- immigration out of C??_ ,"['will', 'media', 'ask', 'the', 'liberals', 'if', 'they', 'actually', 'have', 'a', 'solid', 'plan', 'for', 'canada', '_??_?_??', 'from', 'my', 'view', '--', 'immigration', 'out', 'of', 'c??_']","['media', 'ask', 'liberals', 'actually', 'solid', 'plan', 'canada', '_??_?_??', 'view', '--', 'immigration', 'c??_']","(2000,[114,123,173,304,447,498,900,1293,1448,1457,1488,1563],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[114,123,173,304,447,498,900,1293,1448,1457,1488,1563],[5.25823914298,4.90156419904,5.25823914298,0.0,0.0,4.80625401924,5.12470775036,0.0,1.19043413599,5.25823914298,1.22779838274,0.0])","[0.631839910102,0.368160089898]"
13,Dan Murray of??Immigration Watch Canada is xenophobic racist fear-mongering liar #racism #canada #cdnpoli #hatecrime??_ ,"['dan', 'murray', 'of??immigration', 'watch', 'canada', 'is', 'xenophobic', 'racist', 'fear-mongering', 'liar', '#racism', '#canada', '#cdnpoli', '#hatecrime??_']","['dan', 'murray', 'of??immigration', 'watch', 'canada', 'xenophobic', 'racist', 'fear-mongering', 'liar', '#racism', '#canada', '#cdnpoli', '#hatecrime??_']","(2000,[71,129,264,353,642,663,1145,1202,1408,1488,1575,1688,1714],[1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0])","(2000,[71,129,264,353,642,663,1145,1202,1408,1488,1575,1688,1714],[4.56509196242,0.0,4.90156419904,5.41238982281,2.99945667264,0.0,4.71924264225,5.0069247147,4.71924264225,1.22779838274,0.0,5.0069247147,5.41238982281])","[0.49914772004,0.50085227996]"
